Taxa1,Taxa2,TIME_DTW_Distance
Bacteroides,Roseburia,0.604526984784
Bacteroides,Oscillospira,0.555536977358
Bacteroides,Blautia,0.546183320957
Bacteroides,Dorea,0.481569125868
Bacteroides,Streptococcus,0.497225629155
Bacteroides,[Ruminococcus],0.470566473245
Bacteroides,Butyrivibrio,0.337656913422
Bacteroides,Bacteroides,0.0
Bacteroides,Anaerostipes,0.307669639319
Bacteroides,Sutterella,0.572370838929
Bacteroides,Coprococcus,0.48858437413
Bacteroides,[Eubacterium],0.636482030918
Bacteroides,Dialister,0.662488425481
Bacteroides,Ruminococcus,0.633583570786
Bacteroides,Lachnospira,0.564484470307
Bacteroides,Faecalibacterium,0.665442874389
Bacteroides,Clostridium,0.569682086975
Anaerostipes,Roseburia,0.632217828014
Anaerostipes,Oscillospira,0.586406383151
Anaerostipes,Blautia,0.604815262876
Anaerostipes,Dorea,0.533541449657
Anaerostipes,Streptococcus,0.563644384031
Anaerostipes,[Ruminococcus],0.43752367965
Anaerostipes,Butyrivibrio,0.379869494422
Anaerostipes,Bacteroides,0.307669639319
Anaerostipes,Anaerostipes,0.0
Anaerostipes,Sutterella,0.639789735118
Anaerostipes,Coprococcus,0.540616771228
Anaerostipes,[Eubacterium],0.693346025427
Anaerostipes,Dialister,0.71220997977
Anaerostipes,Ruminococcus,0.711936922493
Anaerostipes,Lachnospira,0.618276902837
Anaerostipes,Faecalibacterium,0.645664886888
Anaerostipes,Clostridium,0.623303817571
Streptococcus,Roseburia,0.556097321097
Streptococcus,Oscillospira,0.47098708733
Streptococcus,Blautia,0.455495934115
Streptococcus,Dorea,0.406062968393
Streptococcus,Streptococcus,0.0
Streptococcus,[Ruminococcus],0.299471136359
Streptococcus,Butyrivibrio,0.446061182145
Streptococcus,Bacteroides,0.497225629155
Streptococcus,Anaerostipes,0.563644384031
Streptococcus,Sutterella,0.568301290348
Streptococcus,Coprococcus,0.577299131685
Streptococcus,[Eubacterium],0.643817254385
Streptococcus,Dialister,0.603645817999
Streptococcus,Ruminococcus,0.580310229715
Streptococcus,Lachnospira,0.479000894978
Streptococcus,Faecalibacterium,0.696590470593
Streptococcus,Clostridium,0.616904790347
Ruminococcus,Roseburia,0.681480747831
Ruminococcus,Oscillospira,0.636888385326
Ruminococcus,Blautia,0.580632278857
Ruminococcus,Dorea,0.594462528009
Ruminococcus,Streptococcus,0.580310229715
Ruminococcus,[Ruminococcus],0.630446773487
Ruminococcus,Butyrivibrio,0.669267965793
