Taxa1,Taxa2,TIME_DTW_Distance
Bacteroides,Roseburia,0.583301927876
Bacteroides,Sutterella,0.603949148834
Bacteroides,Bacteroides,0.0
Bacteroides,Leuconostoc,0.540116477619
Bacteroides,Clostridium,0.456627998184
Bacteroides,Anaerostipes,0.519984352169
Bacteroides,[Eubacterium],0.487388980345
Bacteroides,[Ruminococcus],0.683676886397
Bacteroides,Lachnospira,0.70919133784
Bacteroides,Dorea,0.672206479413
Bacteroides,Faecalibacterium,0.720830005794
Bacteroides,Dialister,0.704681644916
Bacteroides,Coprococcus,0.714291315703
Bacteroides,Butyrivibrio,0.666625189253
Bacteroides,Oscillospira,0.668072787655
Bacteroides,Ruminococcus,0.717119890359
Bacteroides,Blautia,0.711847861368
Anaerostipes,Roseburia,0.909901015192
Anaerostipes,Sutterella,0.864173739899
Anaerostipes,Bacteroides,0.519984352169
Anaerostipes,Leuconostoc,0.54144706482
Anaerostipes,Clostridium,0.187896009797
Anaerostipes,Anaerostipes,0.0
Anaerostipes,[Eubacterium],0.14993810943
Anaerostipes,[Ruminococcus],0.471994535132
Anaerostipes,Lachnospira,0.311826278145
Anaerostipes,Dorea,0.26166587594
Anaerostipes,Faecalibacterium,0.397748379829
Anaerostipes,Dialister,0.396707202477
Anaerostipes,Coprococcus,0.335325507157
Anaerostipes,Butyrivibrio,0.275566515568
Anaerostipes,Oscillospira,0.354568946452
Anaerostipes,Ruminococcus,0.336578422061
Anaerostipes,Blautia,0.328873589726
Ruminococcus,Roseburia,0.935270800717
Ruminococcus,Sutterella,0.835751280045
Ruminococcus,Bacteroides,0.717119890359
Ruminococcus,Leuconostoc,0.464908443177
Ruminococcus,Clostridium,0.324878016786
Ruminococcus,Anaerostipes,0.336578422061
Ruminococcus,[Eubacterium],0.38558098605
Ruminococcus,[Ruminococcus],0.239228098299
Ruminococcus,Lachnospira,0.200962252449
Ruminococcus,Dorea,0.152622256693
Ruminococcus,Faecalibacterium,0.127290738908
Ruminococcus,Dialister,0.193041289629
Ruminococcus,Coprococcus,0.131427249806
Ruminococcus,Butyrivibrio,0.181355016634
Ruminococcus,Oscillospira,0.11594660848
Ruminococcus,Ruminococcus,0.0
Ruminococcus,Blautia,0.0547131132371
Roseburia,Roseburia,0.0
Roseburia,Sutterella,0.192621453996
Roseburia,Bacteroides,0.583301927876
Roseburia,Leuconostoc,0.652674488341
Roseburia,Clostridium,0.856632663663
Roseburia,Anaerostipes,0.909901015192
Roseburia,[Eubacterium],0.886083352461
Roseburia,[Ruminococcus],0.798468887067
Roseburia,Lachnospira,0.917138204231
