Taxa1,Taxa2,TIME_DTW_Distance
Bacteroides,[Ruminococcus],0.415509023865
Bacteroides,Bacteroides,0.0
Bacteroides,Anaerostipes,0.168014627838
Bacteroides,Streptococcus,0.28502498462
Bacteroides,Ruminococcus,0.307353537569
Bacteroides,Butyrivibrio,0.292299647339
Bacteroides,Clostridium,0.309353003695
Bacteroides,Faecalibacterium,0.318984700014
Bacteroides,Sutterella,0.518656798704
Bacteroides,Roseburia,0.533622390318
Bacteroides,Lachnobacterium,0.407417220962
Bacteroides,Oscillospira,0.489274877401
Bacteroides,Coprococcus,0.454416656912
Bacteroides,Blautia,0.46214363432
Bacteroides,Dorea,0.452684674221
Anaerostipes,[Ruminococcus],0.412300681559
Anaerostipes,Bacteroides,0.168014627838
Anaerostipes,Anaerostipes,0.0
Anaerostipes,Streptococcus,0.28943898681
Anaerostipes,Ruminococcus,0.201940207418
Anaerostipes,Butyrivibrio,0.266881932529
Anaerostipes,Clostridium,0.231084330801
Anaerostipes,Faecalibacterium,0.27287672445
Anaerostipes,Sutterella,0.591280579175
Anaerostipes,Roseburia,0.545159573586
Anaerostipes,Lachnobacterium,0.385141340852
Anaerostipes,Oscillospira,0.504889738647
Anaerostipes,Coprococcus,0.465988990296
Anaerostipes,Blautia,0.464969976403
Anaerostipes,Dorea,0.449864829897
Blautia,[Ruminococcus],0.599484109307
Blautia,Bacteroides,0.46214363432
Blautia,Anaerostipes,0.464969976403
Blautia,Streptococcus,0.456285792168
Blautia,Ruminococcus,0.614125262596
Blautia,Butyrivibrio,0.552574243417
Blautia,Clostridium,0.640379727391
Blautia,Faecalibacterium,0.631289406927
Blautia,Sutterella,0.47180343488
Blautia,Roseburia,0.309782298794
Blautia,Lachnobacterium,0.190888726317
Blautia,Oscillospira,0.243923380033
Blautia,Coprococcus,0.18080846508
Blautia,Blautia,0.0
Blautia,Dorea,0.108269793082
Butyrivibrio,[Ruminococcus],0.238900460767
Butyrivibrio,Bacteroides,0.292299647339
Butyrivibrio,Anaerostipes,0.266881932529
Butyrivibrio,Streptococcus,0.158840828391
Butyrivibrio,Ruminococcus,0.312169134995
Butyrivibrio,Butyrivibrio,0.0
Butyrivibrio,Clostridium,0.208427494485
Butyrivibrio,Faecalibacterium,0.146132933583
Butyrivibrio,Sutterella,0.638857247754
Butyrivibrio,Roseburia,0.616062204471
Butyrivibrio,Lachnobacterium,0.439265033494
