Taxa1,Taxa2,TIME_DTW_Distance
Bacteroides,Haemophilus,0.461596967999
Bacteroides,Veillonella,0.521869797882
Bacteroides,Sutterella,0.569213098427
Bacteroides,Parabacteroides,0.549817386172
Bacteroides,Roseburia,0.423548125038
Bacteroides,[Eubacterium],0.428589727482
Bacteroides,Prevotella,0.413638975855
Bacteroides,Streptococcus,0.336046690789
Bacteroides,Dehalobacterium,0.368432616824
Bacteroides,Bilophila,0.374519756688
Bacteroides,Lachnospira,0.326356012529
Bacteroides,Anaerostipes,0.284483207133
Bacteroides,[Ruminococcus],0.200734612024
Bacteroides,Lachnobacterium,0.206176011553
Bacteroides,Oscillospira,0.252429303937
Bacteroides,Butyricimonas,0.0880381508519
Bacteroides,Bacteroides,0.0
Bacteroides,Blautia,0.093778478542
Bacteroides,Phascolarctobacterium,0.17659310442
Bacteroides,Dorea,0.163349591211
Bacteroides,Coprococcus,0.269728437565
Bacteroides,Butyrivibrio,0.297734163727
Bacteroides,Clostridium,0.686091974868
Bacteroides,Ruminococcus,0.465989077249
Bacteroides,Faecalibacterium,0.555595684967
Bacteroides,Akkermansia,0.516221743948
Prevotella,Haemophilus,0.432560437856
Prevotella,Veillonella,0.711460783175
Prevotella,Sutterella,0.548861093307
Prevotella,Parabacteroides,0.590331569092
Prevotella,Roseburia,0.473840274475
Prevotella,[Eubacterium],0.377654289801
Prevotella,Prevotella,0.0
Prevotella,Streptococcus,0.543656038118
Prevotella,Dehalobacterium,0.398521244646
Prevotella,Bilophila,0.365256327646
Prevotella,Lachnospira,0.49213658376
Prevotella,Anaerostipes,0.178005622568
Prevotella,[Ruminococcus],0.504090082663
Prevotella,Lachnobacterium,0.348015136862
Prevotella,Oscillospira,0.314888280763
Prevotella,Butyricimonas,0.371718426026
Prevotella,Bacteroides,0.413638975855
Prevotella,Blautia,0.413902427276
Prevotella,Phascolarctobacterium,0.288756460625
Prevotella,Dorea,0.311864219505
Prevotella,Coprococcus,0.410250025579
Prevotella,Butyrivibrio,0.469690888631
Prevotella,Clostridium,0.778328195704
Prevotella,Ruminococcus,0.586128149639
Prevotella,Faecalibacterium,0.679079877879
Prevotella,Akkermansia,0.631711456343
Butyricimonas,Haemophilus,0.45401438818
Butyricimonas,Veillonella,0.567494854073
Butyricimonas,Sutterella,0.589462381865
Butyricimonas,Parabacteroides,0.598519201941
Butyricimonas,Roseburia,0.44642524209
Butyricimonas,[Eubacterium],0.404018181754
Butyricimonas,Prevotella,0.371718426026
Butyricimonas,Streptococcus,0.402354231178
Butyricimonas,Dehalobacterium,0.359637514803
Butyricimonas,Bilophila,0.3582518561
Butyricimonas,Lachnospira,0.357207727735
Butyricimonas,Anaerostipes,0.323680483891
