Taxa1,Taxa2,TIME_DTW_Distance
Bacteroides,Dorea,0.636666232388
Bacteroides,[Ruminococcus],0.540573810608
Bacteroides,Parabacteroides,0.553248456455
Bacteroides,Anaerostipes,0.55861303288
Bacteroides,Clostridium,0.490327715004
Bacteroides,Roseburia,0.620241630117
Bacteroides,Lachnospira,0.655453946341
Bacteroides,Streptococcus,0.567981166775
Bacteroides,Butyrivibrio,0.524447473102
Bacteroides,Bacteroides,0.0
Bacteroides,Oscillospira,0.331700137382
Bacteroides,Ruminococcus,0.553292435948
Bacteroides,Butyricimonas,0.508127943309
Bacteroides,Faecalibacterium,0.582792727155
Bacteroides,Blautia,0.511586906227
Bacteroides,Haemophilus,0.556411957348
Bacteroides,Coprococcus,0.562506385905
Bacteroides,Desulfovibrio,0.615129327822
Bacteroides,Bilophila,0.558826906677
Bacteroides,Veillonella,0.557443231138
Bacteroides,Lachnobacterium,0.52460468921
Bacteroides,Dialister,0.572167971229
Butyricimonas,Dorea,0.771920827551
Butyricimonas,[Ruminococcus],0.702244940243
Butyricimonas,Parabacteroides,0.446091235071
Butyricimonas,Anaerostipes,0.557935290908
Butyricimonas,Clostridium,0.454989542621
Butyricimonas,Roseburia,0.544606078782
Butyricimonas,Lachnospira,0.654090033722
Butyricimonas,Streptococcus,0.559954845517
Butyricimonas,Butyrivibrio,0.505705940865
Butyricimonas,Bacteroides,0.508127943309
Butyricimonas,Oscillospira,0.451143621207
Butyricimonas,Ruminococcus,0.423158308231
Butyricimonas,Butyricimonas,0.0
Butyricimonas,Faecalibacterium,0.372917880902
Butyricimonas,Blautia,0.448000744657
Butyricimonas,Haemophilus,0.571133697066
Butyricimonas,Coprococcus,0.56701708859
Butyricimonas,Desulfovibrio,0.568153688824
Butyricimonas,Bilophila,0.467327413604
Butyricimonas,Veillonella,0.640856721518
Butyricimonas,Lachnobacterium,0.45693133269
Butyricimonas,Dialister,0.582210245607
Parabacteroides,Dorea,0.572309627975
Parabacteroides,[Ruminococcus],0.475406057483
Parabacteroides,Parabacteroides,0.0
Parabacteroides,Anaerostipes,0.597447449946
Parabacteroides,Clostridium,0.41993371049
Parabacteroides,Roseburia,0.673541287723
Parabacteroides,Lachnospira,0.71603842562
Parabacteroides,Streptococcus,0.65766399358
Parabacteroides,Butyrivibrio,0.669040398343
Parabacteroides,Bacteroides,0.553248456455
Parabacteroides,Oscillospira,0.541520681905
Parabacteroides,Ruminococcus,0.574449300341
Parabacteroides,Butyricimonas,0.446091235071
Parabacteroides,Faecalibacterium,0.635088993163
Parabacteroides,Blautia,0.587883037446
Parabacteroides,Haemophilus,0.502510913546
Parabacteroides,Coprococcus,0.600307827689
Parabacteroides,Desulfovibrio,0.656559963611
Parabacteroides,Bilophila,0.594383072165
Parabacteroides,Veillonella,0.634494300409
Parabacteroides,Lachnobacterium,0.54271801012
Parabacteroides,Dialister,0.649655351047
Anaerostipes,Dorea,0.562303150433
Anaerostipes,[Ruminococcus],0.570197499206
Anaerostipes,Parabacteroides,0.597447449946
Anaerostipes,Anaerostipes,0.0
Anaerostipes,Clostridium,0.35391358632
Anaerostipes,Roseburia,0.381852356692
Anaerostipes,Lachnospira,0.633599246291
Anaerostipes,Streptococcus,0.657035856844
Anaerostipes,Butyrivibrio,0.694111165624
Anaerostipes,Bacteroides,0.55861303288
Anaerostipes,Oscillospira,0.491101216779
Anaerostipes,Ruminococcus,0.60878866738
Anaerostipes,Butyricimonas,0.557935290908
Anaerostipes,Faecalibacterium,0.523348922636
Anaerostipes,Blautia,0.549281048752
Anaerostipes,Haemophilus,0.715845491857
Anaerostipes,Coprococcus,0.732839522699
Anaerostipes,Desulfovibrio,0.706424570247
Anaerostipes,Bilophila,0.71533647231
Anaerostipes,Veillonella,0.578722929457
Anaerostipes,Lachnobacterium,0.755556850496
Anaerostipes,Dialister,0.676571729445
Streptococcus,Dorea,0.585102496162
Streptococcus,[Ruminococcus],0.637378157985
Streptococcus,Parabacteroides,0.65766399358
Streptococcus,Anaerostipes,0.657035856844
Streptococcus,Clostridium,0.691165237684
Streptococcus,Roseburia,0.533134360883
Streptococcus,Lachnospira,0.522709092569
Streptococcus,Streptococcus,0.0
Streptococcus,Butyrivibrio,0.535831047711
Streptococcus,Bacteroides,0.567981166775
Streptococcus,Oscillospira,0.561457427782
Streptococcus,Ruminococcus,0.489372432938
Streptococcus,Butyricimonas,0.559954845517
Streptococcus,Faecalibacterium,0.505994632822
Streptococcus,Blautia,0.587860311882
Streptococcus,Haemophilus,0.651786702311
Streptococcus,Coprococcus,0.50533092739
Streptococcus,Desulfovibrio,0.484275264468
Streptococcus,Bilophila,0.462503879277
Streptococcus,Veillonella,0.505232508171
Streptococcus,Lachnobacterium,0.552349090507
Streptococcus,Dialister,0.539885277604
Ruminococcus,Dorea,0.674630644695
Ruminococcus,[Ruminococcus],0.746238829937
Ruminococcus,Parabacteroides,0.574449300341
Ruminococcus,Anaerostipes,0.60878866738
Ruminococcus,Clostridium,0.575206306175
Ruminococcus,Roseburia,0.542316197466
Ruminococcus,Lachnospira,0.518176335151
Ruminococcus,Streptococcus,0.489372432938
Ruminococcus,Butyrivibrio,0.454012796164
Ruminococcus,Bacteroides,0.553292435948
Ruminococcus,Oscillospira,0.578255055811
Ruminococcus,Ruminococcus,0.0
Ruminococcus,Butyricimonas,0.423158308231
Ruminococcus,Faecalibacterium,0.419137712037
Ruminococcus,Blautia,0.404895305422
Ruminococcus,Haemophilus,0.542000422188
Ruminococcus,Coprococcus,0.503845699899
Ruminococcus,Desulfovibrio,0.476838585243
Ruminococcus,Bilophila,0.41410112097
Ruminococcus,Veillonella,0.637693184588
Ruminococcus,Lachnobacterium,0.586789328544
Ruminococcus,Dialister,0.56193476344
Roseburia,Dorea,0.56254026104
Roseburia,[Ruminococcus],0.616914796689
Roseburia,Parabacteroides,0.673541287723
Roseburia,Anaerostipes,0.381852356692
Roseburia,Clostridium,0.462062164218
Roseburia,Roseburia,0.0
Roseburia,Lachnospira,0.368837901847
Roseburia,Streptococcus,0.533134360883
Roseburia,Butyrivibrio,0.7107201847
Roseburia,Bacteroides,0.620241630117
Roseburia,Oscillospira,0.574419120033
Roseburia,Ruminococcus,0.542316197466
Roseburia,Butyricimonas,0.544606078782
Roseburia,Faecalibacterium,0.450269996403
Roseburia,Blautia,0.615695597436
Roseburia,Haemophilus,0.707616094357
Roseburia,Coprococcus,0.712405256048
Roseburia,Desulfovibrio,0.60256560581
Roseburia,Bilophila,0.605061360643
Roseburia,Veillonella,0.605825585938
Roseburia,Lachnobacterium,0.771194195345
Roseburia,Dialister,0.762646781796
Oscillospira,Dorea,0.646708969722
Oscillospira,[Ruminococcus],0.574554205974
Oscillospira,Parabacteroides,0.541520681905
Oscillospira,Anaerostipes,0.491101216779
Oscillospira,Clostridium,0.444225929317
Oscillospira,Roseburia,0.574419120033
Oscillospira,Lachnospira,0.640679304384
Oscillospira,Streptococcus,0.561457427782
Oscillospira,Butyrivibrio,0.479964177694
Oscillospira,Bacteroides,0.331700137382
Oscillospira,Oscillospira,0.0
Oscillospira,Ruminococcus,0.578255055811
Oscillospira,Butyricimonas,0.451143621207
Oscillospira,Faecalibacterium,0.520013989408
Oscillospira,Blautia,0.412624532585
Oscillospira,Haemophilus,0.583361060004
Oscillospira,Coprococcus,0.529285206008
Oscillospira,Desulfovibrio,0.641077481577
Oscillospira,Bilophila,0.606329895924
Oscillospira,Veillonella,0.542859023446
Oscillospira,Lachnobacterium,0.424779822124
Oscillospira,Dialister,0.504102179442
Lachnospira,Dorea,0.642947893472
Lachnospira,[Ruminococcus],0.652086171871
Lachnospira,Parabacteroides,0.71603842562
Lachnospira,Anaerostipes,0.633599246291
Lachnospira,Clostridium,0.690220698187
Lachnospira,Roseburia,0.368837901847
Lachnospira,Lachnospira,0.0
Lachnospira,Streptococcus,0.522709092569
Lachnospira,Butyrivibrio,0.709746875312
Lachnospira,Bacteroides,0.655453946341
Lachnospira,Oscillospira,0.640679304384
Lachnospira,Ruminococcus,0.518176335151
Lachnospira,Butyricimonas,0.654090033722
Lachnospira,Faecalibacterium,0.488508691917
Lachnospira,Blautia,0.575625164979
Lachnospira,Haemophilus,0.667622130571
Lachnospira,Coprococcus,0.676903392568
Lachnospira,Desulfovibrio,0.472553438658
Lachnospira,Bilophila,0.537921657918
Lachnospira,Veillonella,0.684999270394
Lachnospira,Lachnobacterium,0.791893515996
Lachnospira,Dialister,0.791827143271
Lachnobacterium,Dorea,0.770812160924
Lachnobacterium,[Ruminococcus],0.709235121345
Lachnobacterium,Parabacteroides,0.54271801012
Lachnobacterium,Anaerostipes,0.755556850496
Lachnobacterium,Clostridium,0.626658439183
Lachnobacterium,Roseburia,0.771194195345
Lachnobacterium,Lachnospira,0.791893515996
Lachnobacterium,Streptococcus,0.552349090507
Lachnobacterium,Butyrivibrio,0.466463706981
Lachnobacterium,Bacteroides,0.52460468921
Lachnobacterium,Oscillospira,0.424779822124
Lachnobacterium,Ruminococcus,0.586789328544
Lachnobacterium,Butyricimonas,0.45693133269
Lachnobacterium,Faecalibacterium,0.591512648873
Lachnobacterium,Blautia,0.479937284971
Lachnobacterium,Haemophilus,0.535952216735
Lachnobacterium,Coprococcus,0.441827055483
Lachnobacterium,Desulfovibrio,0.627705017687
Lachnobacterium,Bilophila,0.533848769626
Lachnobacterium,Veillonella,0.550133805788
Lachnobacterium,Lachnobacterium,0.0
Lachnobacterium,Dialister,0.389469553316
Faecalibacterium,Dorea,0.736693748032
Faecalibacterium,[Ruminococcus],0.738483480204
Faecalibacterium,Parabacteroides,0.635088993163
Faecalibacterium,Anaerostipes,0.523348922636
Faecalibacterium,Clostridium,0.528106368811
Faecalibacterium,Roseburia,0.450269996403
Faecalibacterium,Lachnospira,0.488508691917
Faecalibacterium,Streptococcus,0.505994632822
Faecalibacterium,Butyrivibrio,0.553062519795
Faecalibacterium,Bacteroides,0.582792727155
Faecalibacterium,Oscillospira,0.520013989408
Faecalibacterium,Ruminococcus,0.419137712037
Faecalibacterium,Butyricimonas,0.372917880902
Faecalibacterium,Faecalibacterium,0.0
Faecalibacterium,Blautia,0.36098690415
Faecalibacterium,Haemophilus,0.648197118826
Faecalibacterium,Coprococcus,0.552622045047
Faecalibacterium,Desulfovibrio,0.510182202451
Faecalibacterium,Bilophila,0.5063879228
Faecalibacterium,Veillonella,0.614409508639
Faecalibacterium,Lachnobacterium,0.591512648873
Faecalibacterium,Dialister,0.685803538154
Dorea,Dorea,0.0
Dorea,[Ruminococcus],0.363660452526
Dorea,Parabacteroides,0.572309627975
Dorea,Anaerostipes,0.562303150433
Dorea,Clostridium,0.600018355708
Dorea,Roseburia,0.56254026104
Dorea,Lachnospira,0.642947893472
Dorea,Streptococcus,0.585102496162
Dorea,Butyrivibrio,0.707888411637
Dorea,Bacteroides,0.636666232388
Dorea,Oscillospira,0.646708969722
Dorea,Ruminococcus,0.674630644695
Dorea,Butyricimonas,0.771920827551
