Taxa1,Taxa2,TIME_DTW_Distance
Bacteroides,Lachnobacterium,0.526372366239
Bacteroides,[Ruminococcus],0.480906104079
Bacteroides,Holdemania,0.424787792453
Bacteroides,Lachnospira,0.3173047999
Bacteroides,rc4-4,0.452705111977
Bacteroides,Faecalibacterium,0.401475342728
Bacteroides,Butyricimonas,0.390181340261
Bacteroides,Coprococcus,0.381323041005
Bacteroides,Roseburia,0.382265370827
Bacteroides,Blautia,0.395151944875
Bacteroides,Desulfovibrio,0.493508070742
Bacteroides,Oscillospira,0.363534071144
Bacteroides,Parabacteroides,0.418106497806
Bacteroides,Anaerostipes,0.388765076547
Bacteroides,Streptococcus,0.43551455701
Bacteroides,Clostridium,0.382773596406
Bacteroides,Sutterella,0.396153521633
Bacteroides,Bilophila,0.306728187513
Bacteroides,Ruminococcus,0.323007422137
Bacteroides,Bacteroides,0.0
Bacteroides,Dorea,0.21765102626
Bacteroides,Dehalobacterium,0.410740343626
Bacteroides,Haemophilus,0.514497031502
Butyricimonas,Lachnobacterium,0.486898989015
Butyricimonas,[Ruminococcus],0.443927417468
Butyricimonas,Holdemania,0.447336199509
Butyricimonas,Lachnospira,0.440173865839
Butyricimonas,rc4-4,0.291935738769
Butyricimonas,Faecalibacterium,0.367301281229
Butyricimonas,Butyricimonas,0.0
Butyricimonas,Coprococcus,0.290848566913
Butyricimonas,Roseburia,0.454524139959
Butyricimonas,Blautia,0.551721125662
Butyricimonas,Desulfovibrio,0.523120793337
Butyricimonas,Oscillospira,0.322213738569
Butyricimonas,Parabacteroides,0.394276565259
Butyricimonas,Anaerostipes,0.394405948173
Butyricimonas,Streptococcus,0.484341612919
Butyricimonas,Clostridium,0.385143701048
Butyricimonas,Sutterella,0.472908517317
Butyricimonas,Bilophila,0.37649649519
Butyricimonas,Ruminococcus,0.507556572841
Butyricimonas,Bacteroides,0.390181340261
Butyricimonas,Dorea,0.396215413812
Butyricimonas,Dehalobacterium,0.466861537166
Butyricimonas,Haemophilus,0.497502550649
Parabacteroides,Lachnobacterium,0.547802489085
Parabacteroides,[Ruminococcus],0.519319081258
Parabacteroides,Holdemania,0.506921883745
Parabacteroides,Lachnospira,0.611044099317
Parabacteroides,rc4-4,0.415540685625
Parabacteroides,Faecalibacterium,0.444108172917
Parabacteroides,Butyricimonas,0.394276565259
Parabacteroides,Coprococcus,0.437804258874
Parabacteroides,Roseburia,0.564204671768
Parabacteroides,Blautia,0.519545662629
Parabacteroides,Desulfovibrio,0.49381102841
Parabacteroides,Oscillospira,0.309812027026
Parabacteroides,Parabacteroides,0.0
Parabacteroides,Anaerostipes,0.480796919452
Parabacteroides,Streptococcus,0.509258710932
Parabacteroides,Clostridium,0.33771551596
Parabacteroides,Sutterella,0.319015112899
Parabacteroides,Bilophila,0.469127964235
Parabacteroides,Ruminococcus,0.55362793388
Parabacteroides,Bacteroides,0.418106497806
Parabacteroides,Dorea,0.467834374676
Parabacteroides,Dehalobacterium,0.470978205265
Parabacteroides,Haemophilus,0.409928289115
Anaerostipes,Lachnobacterium,0.514233985412
Anaerostipes,[Ruminococcus],0.338751333283
Anaerostipes,Holdemania,0.457704379889
Anaerostipes,Lachnospira,0.482178600273
Anaerostipes,rc4-4,0.497934933656
Anaerostipes,Faecalibacterium,0.380451448478
Anaerostipes,Butyricimonas,0.394405948173
Anaerostipes,Coprococcus,0.387734212185
Anaerostipes,Roseburia,0.367655830092
Anaerostipes,Blautia,0.480265634227
Anaerostipes,Desulfovibrio,0.49959203487
Anaerostipes,Oscillospira,0.513384792215
Anaerostipes,Parabacteroides,0.480796919452
Anaerostipes,Anaerostipes,0.0
Anaerostipes,Streptococcus,0.248813400546
Anaerostipes,Clostridium,0.286016888535
Anaerostipes,Sutterella,0.467982089466
Anaerostipes,Bilophila,0.36129770589
Anaerostipes,Ruminococcus,0.425628698253
Anaerostipes,Bacteroides,0.388765076547
Anaerostipes,Dorea,0.331535648816
Anaerostipes,Dehalobacterium,0.611453541068
Anaerostipes,Haemophilus,0.452559807917
Streptococcus,Lachnobacterium,0.542970986458
Streptococcus,[Ruminococcus],0.478708707772
Streptococcus,Holdemania,0.450132705815
Streptococcus,Lachnospira,0.444676535962
Streptococcus,rc4-4,0.509966039483
Streptococcus,Faecalibacterium,0.500486001727
Streptococcus,Butyricimonas,0.484341612919
Streptococcus,Coprococcus,0.562219501
Streptococcus,Roseburia,0.371997742014
Streptococcus,Blautia,0.463153830443
Streptococcus,Desulfovibrio,0.477822773698
Streptococcus,Oscillospira,0.477099573135
Streptococcus,Parabacteroides,0.509258710932
Streptococcus,Anaerostipes,0.248813400546
Streptococcus,Streptococcus,0.0
Streptococcus,Clostridium,0.31177909368
Streptococcus,Sutterella,0.402551922103
Streptococcus,Bilophila,0.298865996644
Streptococcus,Ruminococcus,0.329913896972
Streptococcus,Bacteroides,0.43551455701
Streptococcus,Dorea,0.326368976248
Streptococcus,Dehalobacterium,0.532308499069
Streptococcus,Haemophilus,0.418548590857
Ruminococcus,Lachnobacterium,0.542723241963
Ruminococcus,[Ruminococcus],0.520377388118
